year,month,prectotcorr,prectotcorr_sum,qv2m,rh2m,t2m_max,t2m_range,date
2004,2,2.79,80.96,10.68,63.82,38.61,15.16,2004-02-01
2004,3,4.15,128.61,9.35,69.34,33.14,14.05,2004-03-01
2004,4,2.43,73.01,8.21,69.11,29.27,13.75,2004-04-01
2004,5,0.48,14.8,6.37,60.26,26.87,14.1,2004-05-01
2004,6,0.49,14.57,4.77,59.16,23.57,13.83,2004-06-01
2004,7,0.86,26.62,4.18,59.92,22.89,13.64,2004-07-01
2004,8,0.36,11.26,5.17,56.36,27.81,15.85,2004-08-01
2004,9,3.5,105.09,5.29,58.78,31.79,16.16,2004-09-01
2004,10,0.86,26.55,7.26,60.32,34.92,16.14,2004-10-01
2004,11,1.22,36.68,9.02,58.76,37.98,17.7,2004-11-01
2004,12,4.11,127.36,10.07,62.26,39.91,16.52,2004-12-01
2005,1,4.68,144.99,11.07,70.46,36.39,14.48,2005-01-01
2005,2,3.58,100.29,11.01,67.75,37.75,15.03,2005-02-01
2005,3,2.9,90.03,9.48,68.23,34.15,14.0,2005-03-01
2005,4,2.29,68.75,7.82,68.26,30.17,13.44,2005-04-01
2005,5,1.72,53.36,6.32,66.02,27.14,12.71,2005-05-01
2005,6,0.61,18.18,4.82,63.31,22.71,13.84,2005-06-01
2005,7,0.12,3.77,4.6,55.19,27.28,15.08,2005-07-01
2005,8,1.52,46.98,4.54,55.21,27.88,15.58,2005-08-01
2005,9,0.52,15.58,5.72,54.45,32.9,16.87,2005-09-01
2005,10,1.3,40.42,6.26,52.97,35.16,17.94,2005-10-01
2005,11,3.99,119.74,8.36,64.32,37.44,15.28,2005-11-01
2005,12,0.74,22.99,7.52,58.16,35.76,17.3,2005-12-01
2006,1,5.06,156.89,10.98,66.2,38.28,15.33,2006-01-01
2006,2,4.51,126.18,11.91,70.92,33.96,13.87,2006-02-01
2006,3,1.9,58.95,8.07,62.88,32.22,15.42,2006-03-01
2006,4,2.53,75.93,7.66,66.9,31.04,13.22,2006-04-01
2006,5,2.54,78.78,5.58,72.04,23.65,12.17,2006-05-01
2006,6,0.5,15.05,5.13,68.81,23.23,13.34,2006-06-01
2006,7,0.19,6.02,4.53,58.95,24.33,14.76,2006-07-01
2006,8,4.17,129.18,5.62,72.07,24.37,12.72,2006-08-01
2006,9,1.17,35.07,6.36,63.81,33.15,14.75,2006-09-01
2006,10,5.0,154.93,8.8,73.14,33.36,13.96,2006-10-01
2006,11,1.28,38.29,8.73,64.62,35.94,16.16,2006-11-01
2006,12,2.3,71.36,9.02,60.76,37.1,16.22,2006-12-01
2007,1,1.61,49.9,9.79,57.09,39.31,17.72,2007-01-01
2007,2,1.73,48.47,9.39,56.25,40.42,17.73,2007-02-01
2007,3,3.08,95.53,9.02,66.86,33.74,14.67,2007-03-01
2007,4,1.36,40.85,7.35,58.54,32.26,14.99,2007-04-01
2007,5,0.49,15.11,4.86,52.08,30.0,14.37,2007-05-01
2007,6,0.34,10.1,4.27,56.3,21.96,13.41,2007-06-01
2007,7,0.36,11.13,3.76,51.56,26.22,14.79,2007-07-01
2007,8,0.3,9.21,4.14,51.12,28.13,15.45,2007-08-01
2007,9,0.29,8.56,5.64,52.88,35.67,17.25,2007-09-01
2007,10,2.49,77.26,7.03,60.13,34.03,16.29,2007-10-01
2007,11,1.28,38.3,7.08,57.2,34.99,16.22,2007-11-01
2007,12,4.15,128.71,9.61,62.77,36.82,15.8,2007-12-01
2008,1,3.43,106.28,10.73,66.34,35.76,14.95,2008-01-01
2008,2,3.26,94.52,10.69,65.3,35.52,15.85,2008-02-01
2008,3,2.78,86.19,9.6,68.57,37.83,14.25,2008-03-01
2008,4,1.7,51.08,7.02,64.7,30.6,14.04,2008-04-01
2008,5,0.54,16.77,6.37,61.3,26.05,13.78,2008-05-01
2008,6,0.93,27.79,5.4,66.35,23.77,12.39,2008-06-01
2008,7,0.06,1.83,4.27,54.16,24.48,14.52,2008-07-01
2008,8,1.09,33.91,4.78,56.17,27.86,15.69,2008-08-01
2008,9,0.24,7.32,4.09,46.46,31.17,16.8,2008-09-01
2008,10,1.13,34.96,6.82,58.82,35.69,17.14,2008-10-01
2008,11,2.89,86.83,8.36,60.47,37.82,16.76,2008-11-01
2008,12,1.1,34.24,9.16,57.77,37.2,17.74,2008-12-01
2009,1,1.17,36.41,9.37,57.73,38.87,18.04,2009-01-01
2009,2,5.54,155.18,10.83,67.02,36.0,13.88,2009-02-01
2009,3,1.13,35.08,9.21,63.41,33.09,15.45,2009-03-01
2009,4,1.0,30.13,7.44,59.07,31.94,14.78,2009-04-01
2009,5,0.4,12.28,5.87,59.88,25.5,13.55,2009-05-01
2009,6,0.85,25.49,5.29,66.35,23.08,12.4,2009-06-01
2009,7,0.75,23.27,4.16,56.0,22.14,13.96,2009-07-01
2009,8,0.33,10.17,4.7,54.04,28.38,15.21,2009-08-01
2009,9,0.35,10.49,4.9,51.57,31.39,15.98,2009-09-01
2009,10,2.01,62.19,7.01,58.11,33.5,15.76,2009-10-01
2009,11,1.53,46.0,7.09,53.12,36.83,17.38,2009-11-01
2009,12,1.49,46.32,8.28,58.23,40.06,17.88,2009-12-01
2010,1,4.18,129.47,10.39,61.9,39.29,16.19,2010-01-01
2010,2,1.55,43.33,10.14,58.45,39.21,16.85,2010-02-01
2010,3,1.72,53.32,9.41,58.38,37.01,16.31,2010-03-01
2010,4,1.55,46.38,7.34,61.87,34.59,14.6,2010-04-01
2010,5,0.18,5.5,5.94,56.57,25.75,13.9,2010-05-01
2010,6,1.16,34.91,4.56,60.86,25.37,12.76,2010-06-01
2010,7,0.31,9.59,4.56,55.86,24.25,14.47,2010-07-01
2010,8,0.18,5.51,3.93,45.27,31.68,16.43,2010-08-01
2010,9,0.7,20.96,5.44,50.6,33.51,17.23,2010-09-01
2010,10,1.91,59.31,6.47,57.79,35.38,15.67,2010-10-01
2010,11,1.87,56.03,8.2,59.63,37.14,17.63,2010-11-01
2010,12,2.59,80.27,9.53,63.64,35.32,15.89,2010-12-01
2011,1,3.83,118.63,10.78,64.6,37.53,15.82,2011-01-01
2011,2,3.29,92.02,11.93,66.99,32.38,13.32,2011-02-01
2011,3,3.45,106.86,10.22,65.89,35.49,14.8,2011-03-01
2011,4,1.66,49.92,7.63,70.42,28.4,12.54,2011-04-01
2011,5,3.01,93.34,6.64,73.97,26.04,11.17,2011-05-01
2011,6,2.34,70.08,5.59,76.88,20.02,11.02,2011-06-01
2011,7,1.74,53.89,4.97,75.02,20.49,12.5,2011-07-01
2011,8,0.36,11.13,5.15,65.85,28.52,14.7,2011-08-01
2011,9,0.13,3.91,5.8,60.59,32.25,15.86,2011-09-01
2011,10,1.41,43.69,6.38,57.3,33.98,16.4,2011-10-01
2011,11,1.9,57.13,6.84,59.19,36.4,16.52,2011-11-01
2011,12,2.87,89.02,8.89,60.39,39.04,16.85,2011-12-01
2012,1,1.74,53.96,10.07,57.91,39.56,17.1,2012-01-01
2012,2,3.95,114.61,10.19,65.79,37.25,15.62,2012-02-01
2012,3,3.2,99.29,9.31,65.09,35.95,14.62,2012-03-01
2012,4,1.65,49.4,6.79,64.37,27.78,14.12,2012-04-01
2012,5,0.37,11.36,5.67,61.17,28.39,13.85,2012-05-01
2012,6,1.25,37.49,5.05,67.57,22.89,12.16,2012-06-01
2012,7,2.45,75.95,4.62,68.7,22.75,12.79,2012-07-01
2012,8,0.87,27.03,5.06,65.28,27.68,14.97,2012-08-01
2012,9,0.65,19.39,5.41,59.76,31.96,15.89,2012-09-01
2012,10,3.23,100.03,6.97,67.84,32.4,14.8,2012-10-01
2012,11,0.59,17.7,7.58,59.54,37.02,17.58,2012-11-01
2012,12,4.11,127.54,10.68,65.72,35.25,14.56,2012-12-01
2013,1,0.98,30.44,9.58,61.44,37.31,16.69,2013-01-01
2013,2,1.75,48.93,8.87,57.26,38.73,17.66,2013-02-01
2013,3,2.13,66.05,8.43,59.68,38.01,16.19,2013-03-01
2013,4,1.12,33.5,6.02,57.89,30.72,14.74,2013-04-01
2013,5,0.5,15.45,5.24,55.38,28.35,14.87,2013-05-01
2013,6,0.25,7.42,4.05,54.42,24.49,14.28,2013-06-01
2013,7,0.27,8.47,4.82,61.57,24.03,13.51,2013-07-01
2013,8,0.54,16.75,3.68,47.39,29.57,15.76,2013-08-01
2013,9,0.13,3.85,4.1,47.77,33.38,17.79,2013-09-01
2013,10,2.91,90.16,6.24,55.36,35.15,16.25,2013-10-01
2013,11,3.27,98.14,7.81,61.27,35.88,16.73,2013-11-01
2013,12,2.94,91.04,9.71,65.74,35.28,14.82,2013-12-01
2014,1,2.83,87.73,10.84,62.3,38.48,16.5,2014-01-01
2014,2,4.47,125.19,11.74,69.41,36.84,14.32,2014-02-01
2014,3,1.71,53.09,8.95,64.57,33.33,15.28,2014-03-01
2014,4,3.06,91.66,6.87,62.44,30.41,14.16,2014-04-01
2014,5,0.45,14.04,6.18,63.43,29.19,13.16,2014-05-01
2014,6,0.06,1.85,4.1,55.73,24.56,14.56,2014-06-01
2014,7,0.05,1.53,4.21,55.72,25.36,13.96,2014-07-01
2014,8,0.51,15.71,5.33,59.62,27.26,14.54,2014-08-01
2014,9,1.3,39.09,5.69,52.73,33.56,17.06,2014-09-01
2014,10,0.87,26.82,7.03,60.83,35.99,16.86,2014-10-01
2014,11,3.22,96.72,8.05,62.68,35.21,15.67,2014-11-01
2014,12,2.4,74.49,9.36,63.34,34.44,16.4,2014-12-01
2015,1,2.15,66.57,9.83,58.49,39.88,17.72,2015-01-01
2015,2,1.21,33.83,8.9,61.21,39.45,17.34,2015-02-01
2015,3,1.52,47.22,9.03,60.44,36.59,15.6,2015-03-01
2015,4,1.83,54.83,7.25,66.26,32.19,13.07,2015-04-01
2015,5,0.16,5.07,5.61,55.2,27.75,14.88,2015-05-01
2015,6,1.32,39.47,4.73,61.98,24.39,13.1,2015-06-01
2015,7,2.13,66.13,5.01,67.64,23.1,12.15,2015-07-01
2015,8,0.9,28.03,5.83,61.44,29.16,14.51,2015-08-01
2015,9,1.66,49.66,6.65,66.53,33.04,14.34,2015-09-01
2015,10,0.6,18.57,7.49,57.87,36.73,17.31,2015-10-01
2015,11,1.41,42.24,6.66,56.7,35.65,16.46,2015-11-01
2015,12,0.2,6.07,8.9,53.54,40.44,18.62,2015-12-01
2016,1,1.49,46.22,10.21,57.53,41.9,16.92,2016-01-01
2016,2,2.12,61.61,9.33,57.37,40.03,17.53,2016-02-01
2016,3,2.6,80.48,8.62,60.4,38.52,15.95,2016-03-01
2016,4,0.69,20.74,6.84,54.39,32.59,15.45,2016-04-01
2016,5,0.99,30.79,5.97,60.05,26.35,13.82,2016-05-01
2016,6,0.3,9.07,4.75,57.72,24.01,13.53,2016-06-01
2016,7,1.26,39.21,4.64,62.83,23.08,12.83,2016-07-01
2016,8,0.51,15.89,4.66,52.18,30.79,16.2,2016-08-01
2016,9,0.76,22.73,5.84,60.05,32.73,15.14,2016-09-01
2016,10,0.28,8.78,6.18,55.05,35.03,17.41,2016-10-01
2016,11,0.74,22.05,7.52,57.03,36.57,17.52,2016-11-01
2016,12,1.08,33.33,7.97,49.33,41.27,19.77,2016-12-01
2017,1,3.1,96.07,9.13,57.1,38.79,16.98,2017-01-01
2017,2,2.79,78.25,10.43,61.81,37.03,15.77,2017-02-01
2017,3,0.88,27.25,8.1,54.41,35.87,17.1,2017-03-01
2017,4,0.26,7.77,6.88,57.43,34.7,15.65,2017-04-01
2017,5,0.82,25.34,6.04,58.4,28.46,13.92,2017-05-01
2017,6,0.14,4.29,4.27,51.47,26.24,14.48,2017-06-01
2017,7,0.14,4.4,3.82,51.68,24.66,15.72,2017-07-01
2017,8,1.05,32.62,4.32,56.72,26.79,15.02,2017-08-01
2017,9,0.48,14.31,5.48,52.68,34.78,17.58,2017-09-01
2017,10,2.7,83.85,6.26,58.86,34.68,16.76,2017-10-01
2017,11,1.45,43.46,6.88,55.79,36.58,16.87,2017-11-01
2017,12,1.31,40.52,8.02,56.57,36.37,17.1,2017-12-01
2018,1,2.28,70.6,9.3,55.43,39.28,17.37,2018-01-01
2018,2,2.74,76.59,9.8,60.09,38.12,16.38,2018-02-01
2018,3,1.65,51.0,8.91,65.67,34.0,14.62,2018-03-01
2018,4,1.28,38.53,7.75,62.45,29.87,14.39,2018-04-01
2018,5,0.78,24.14,5.56,57.49,28.22,13.84,2018-05-01
2018,6,0.15,4.49,4.38,55.14,23.02,13.88,2018-06-01
2018,7,0.36,11.03,4.37,53.66,24.3,14.81,2018-07-01
2018,8,0.42,13.13,4.43,61.23,27.64,14.19,2018-08-01
2018,9,1.59,47.76,5.05,57.56,32.1,15.87,2018-09-01
2018,10,1.05,32.43,6.07,50.03,39.21,17.28,2018-10-01
2018,11,0.73,21.87,6.44,49.8,40.58,19.19,2018-11-01
2018,12,0.2,6.16,8.27,51.05,39.94,19.41,2018-12-01
2019,1,1.1,34.11,8.27,51.67,38.71,18.75,2019-01-01
2019,2,1.45,40.73,9.86,58.25,39.04,15.71,2019-02-01
2019,3,1.64,50.97,9.38,60.97,38.77,16.07,2019-03-01
2019,4,1.09,32.71,7.06,59.4,31.89,14.57,2019-04-01
2019,5,1.01,31.19,5.92,52.9,29.89,14.68,2019-05-01
2019,6,0.07,2.02,4.34,51.6,24.31,14.33,2019-06-01
2019,7,0.27,8.37,3.9,47.06,26.93,15.14,2019-07-01
2019,8,0.02,0.7,3.72,45.47,28.97,16.88,2019-08-01
2019,9,0.54,16.12,4.81,45.12,36.21,17.89,2019-09-01
2019,10,0.51,15.83,5.5,48.0,39.16,17.81,2019-10-01
2019,11,0.19,5.64,6.53,48.44,40.06,19.44,2019-11-01
2019,12,0.79,24.56,7.41,49.59,40.92,18.79,2019-12-01
2020,1,3.35,103.7,10.47,61.71,39.74,16.68,2020-01-01
2020,2,4.75,137.77,10.74,64.15,37.31,14.97,2020-02-01
2020,3,2.23,69.0,9.64,64.72,36.33,14.96,2020-03-01
2020,4,2.46,73.83,7.76,68.27,31.65,12.99,2020-04-01
2020,5,0.23,6.99,5.5,57.3,25.53,14.39,2020-05-01
2020,6,0.03,0.88,4.25,52.36,25.79,14.33,2020-06-01
2020,7,0.13,4.11,3.55,45.53,23.78,15.77,2020-07-01
2020,8,0.35,10.98,3.92,53.6,26.52,14.76,2020-08-01
2020,9,0.93,28.04,5.15,52.43,32.09,16.91,2020-09-01
2020,10,1.78,55.08,6.72,57.08,35.78,17.48,2020-10-01
2020,11,1.45,43.44,7.64,58.24,36.36,16.53,2020-11-01
2020,12,2.2,68.33,9.26,59.88,37.55,17.14,2020-12-01
2021,1,3.11,96.54,10.15,59.32,39.65,16.74,2021-01-01
2021,2,1.63,45.65,10.03,63.54,36.67,16.13,2021-02-01
2021,3,1.11,34.5,8.76,59.7,36.8,15.31,2021-03-01
2021,4,1.02,30.48,7.05,55.19,33.74,15.4,2021-04-01
2021,5,1.08,33.49,5.47,55.47,26.78,13.52,2021-05-01
2021,6,0.29,8.57,4.89,57.39,25.6,13.47,2021-06-01
2021,7,0.31,9.74,3.41,49.69,24.96,15.32,2021-07-01
2021,8,0.79,24.56,4.31,54.55,26.35,15.12,2021-08-01
2021,9,0.64,19.21,5.33,54.18,35.31,17.28,2021-09-01
2021,10,1.23,38.24,5.91,51.87,35.94,16.72,2021-10-01
2021,11,2.77,83.02,7.37,60.96,35.68,15.36,2021-11-01
2021,12,3.47,107.71,9.48,65.41,36.4,15.08,2021-12-01
2022,1,1.94,60.02,11.05,62.06,36.03,15.89,2022-01-01
2022,2,2.87,80.33,10.83,62.86,36.65,15.56,2022-02-01
2022,3,2.56,79.28,9.86,64.84,33.95,13.29,2022-03-01
2022,4,2.02,60.66,7.38,70.87,28.56,12.27,2022-04-01
2022,5,2.55,78.92,6.06,66.56,26.93,13.46,2022-05-01
2022,6,0.82,24.61,5.04,64.47,21.24,13.1,2022-06-01
2022,7,0.61,18.98,5.36,67.16,21.97,13.12,2022-07-01
2022,8,0.92,28.55,5.07,63.84,26.7,14.34,2022-08-01
2022,9,2.46,73.71,6.42,60.25,32.0,15.4,2022-09-01
2022,10,0.82,25.51,8.4,62.28,33.72,15.76,2022-10-01
2022,11,1.54,46.22,8.3,60.32,38.34,15.61,2022-11-01
2022,12,2.99,92.73,9.39,59.99,36.77,16.22,2022-12-01
2023,1,3.45,107.07,10.83,60.26,38.99,17.2,2023-01-01
2023,2,3.71,103.8,10.67,66.89,35.25,14.68,2023-02-01
2023,3,2.06,63.79,9.12,61.76,33.49,15.6,2023-03-01
2023,4,0.38,11.36,6.29,55.08,31.53,15.5,2023-04-01
2023,5,3.72,115.26,5.83,65.93,27.43,12.49,2023-05-01
2023,6,0.93,27.93,5.33,70.99,21.27,11.63,2023-06-01
2023,7,1.18,36.59,4.8,65.87,23.72,12.72,2023-07-01
2023,8,0.1,3.06,4.9,56.1,28.37,15.57,2023-08-01
2023,9,2.06,61.83,5.08,55.36,32.91,15.48,2023-09-01
2023,10,2.79,86.46,7.36,65.71,34.49,15.1,2023-10-01
2023,11,0.5,14.92,7.76,54.01,37.11,18.51,2023-11-01
2023,12,1.63,50.43,8.88,59.78,41.45,16.96,2023-12-01
2024,1,1.52,47.27,10.02,57.42,40.11,16.39,2024-01-01
2024,2,0.4,11.49,8.08,50.05,40.21,18.78,2024-02-01
2024,3,1.57,48.73,8.61,52.42,38.27,16.89,2024-03-01
2024,4,2.91,87.21,8.24,67.36,31.34,13.2,2024-04-01
2024,5,0.63,19.38,6.16,53.1,29.75,15.19,2024-05-01
2024,6,3.07,92.05,5.74,69.27,21.97,11.85,2024-06-01
2024,7,0.26,8.2,4.34,62.78,20.71,12.66,2024-07-01
2024,8,0.78,24.06,4.03,49.99,29.13,17.3,2024-08-01
2024,9,0.77,23.05,5.73,62.0,31.86,14.68,2024-09-01
2024,10,2.11,65.42,6.49,56.99,38.31,16.21,2024-10-01
2024,11,1.85,55.38,8.35,63.14,37.73,16.71,2024-11-01
2024,12,0.49,15.22,8.66,53.79,40.3,18.5,2024-12-01
