domain code,domain,area code (m49),district,element code,element,item code (cpc),item,year code,year,unit,value,flag,flag description,date,prectotcorr_ann,prectotcorr_sum,qv2m_ann,rh2m_ann,t2m_max_ann,t2m_range_ann
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2111,Cattle,2012,2012,LSU/ha,0.1,E,Estimated value,2012-01-01,2.0,733.75,7.28,64.07,39.56,14.83
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2111,Cattle,2013,2013,LSU/ha,0.1,E,Estimated value,2013-01-01,1.3999999999999997,510.2,6.54,57.12,38.73,15.76
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2111,Cattle,2014,2014,LSU/ha,0.1,E,Estimated value,2014-01-01,1.72,627.92,7.34,61.03,38.48,15.21
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2111,Cattle,2015,2015,LSU/ha,0.1,E,Estimated value,2015-01-01,1.25,457.69,7.150000000000001,60.580000000000005,40.44,15.42
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2111,Cattle,2016,2016,LSU/ha,0.1,E,Estimated value,2016-01-01,1.07,390.8999999999999,6.87,56.99,41.9,16.0
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2111,Cattle,2017,2017,LSU/ha,0.09,E,Estimated value,2017-01-01,1.25,458.13,6.61,56.04999999999999,38.79,16.08
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2111,Cattle,2018,2018,LSU/ha,0.09,E,Estimated value,2018-01-01,1.09,397.73,6.68,56.60999999999999,40.58,15.93
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2111,Cattle,2019,2019,LSU/ha,0.09,E,Estimated value,2019-01-01,0.7200000000000001,262.95,6.37,51.49,40.92,16.68
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2111,Cattle,2020,2020,LSU/ha,0.09,E,Estimated value,2020-01-01,1.6499999999999997,602.15,7.04,57.91,39.74,15.58
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2111,Cattle,2021,2021,LSU/ha,0.09,E,Estimated value,2021-01-01,1.46,531.71,6.830000000000001,57.22,39.65,15.449999999999998
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2111,Cattle,2022,2022,LSU/ha,0.09,E,Estimated value,2022-01-01,1.83,669.52,7.75,63.79999999999999,38.34,14.5
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2111,Cattle,2000,2000,%LSU,64.0,E,Estimated value,2000-01-01,2.52,921.53,7.599999999999999,65.13,36.94,14.449999999999998
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2111,Cattle,2001,2001,%LSU,63.24,E,Estimated value,2001-01-01,2.47,900.25,7.47,63.21,41.44,14.839999999999998
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2111,Cattle,2002,2002,%LSU,64.22,E,Estimated value,2002-01-01,2.37,865.18,7.16,62.5,37.97,14.96
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2111,Cattle,2003,2003,%LSU,64.35,E,Estimated value,2003-01-01,1.72,628.11,6.919999999999999,58.37,38.71,15.49
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2111,Cattle,2004,2004,%LSU,64.47,E,Estimated value,2004-01-01,2.1,769.4500000000002,7.599999999999999,62.06,39.91,15.21
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2111,Cattle,2005,2005,%LSU,66.02,E,Estimated value,2005-01-01,1.99,725.08,7.27,61.97,37.75,15.13
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2111,Cattle,2006,2006,%LSU,65.48,E,Estimated value,2006-01-01,2.59,946.63,7.669999999999999,66.73,38.28,14.33
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2111,Cattle,2007,2007,%LSU,65.42,E,Estimated value,2007-01-01,1.46,533.13,6.82,56.91,40.42,15.71
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2111,Cattle,2008,2008,%LSU,63.99,E,Estimated value,2008-01-01,1.59,581.72,7.27,60.52,37.83,15.33
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2111,Cattle,2009,2009,%LSU,63.29,E,Estimated value,2009-01-01,1.3500000000000003,493.01,6.989999999999999,58.66,40.06,15.37
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2111,Cattle,2010,2010,%LSU,63.0,E,Estimated value,2010-01-01,1.49,544.58,7.14,57.54999999999999,39.29,15.65
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2111,Cattle,2011,2011,%LSU,62.92,E,Estimated value,2011-01-01,2.16,789.62,7.54,66.42,39.04,14.300000000000002
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2111,Cattle,2012,2012,%LSU,63.23,E,Estimated value,2012-01-01,2.0,733.75,7.28,64.07,39.56,14.83
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2111,Cattle,2013,2013,%LSU,64.78,E,Estimated value,2013-01-01,1.3999999999999997,510.2,6.54,57.12,38.73,15.76
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2111,Cattle,2014,2014,%LSU,65.11,E,Estimated value,2014-01-01,1.72,627.92,7.34,61.03,38.48,15.21
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2111,Cattle,2015,2015,%LSU,64.85,E,Estimated value,2015-01-01,1.25,457.69,7.150000000000001,60.580000000000005,40.44,15.42
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2111,Cattle,2016,2016,%LSU,64.67,E,Estimated value,2016-01-01,1.07,390.8999999999999,6.87,56.99,41.9,16.0
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2111,Cattle,2017,2017,%LSU,64.11,E,Estimated value,2017-01-01,1.25,458.13,6.61,56.04999999999999,38.79,16.08
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2111,Cattle,2018,2018,%LSU,63.77,E,Estimated value,2018-01-01,1.09,397.73,6.68,56.60999999999999,40.58,15.93
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2111,Cattle,2019,2019,%LSU,63.6,E,Estimated value,2019-01-01,0.7200000000000001,262.95,6.37,51.49,40.92,16.68
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2111,Cattle,2020,2020,%LSU,63.48,E,Estimated value,2020-01-01,1.6499999999999997,602.15,7.04,57.91,39.74,15.58
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2111,Cattle,2021,2021,%LSU,63.46,E,Estimated value,2021-01-01,1.46,531.71,6.830000000000001,57.22,39.65,15.449999999999998
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2111,Cattle,2022,2022,%LSU,63.42,E,Estimated value,2022-01-01,1.83,669.52,7.75,63.79999999999999,38.34,14.5
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2000,2000,LSU/ha,0.01,E,Estimated value,2000-01-01,2.52,921.53,7.599999999999999,65.13,36.94,14.449999999999998
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2001,2001,LSU/ha,0.01,E,Estimated value,2001-01-01,2.47,900.25,7.47,63.21,41.44,14.839999999999998
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2002,2002,LSU/ha,0.01,E,Estimated value,2002-01-01,2.37,865.18,7.16,62.5,37.97,14.96
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2003,2003,LSU/ha,0.01,E,Estimated value,2003-01-01,1.72,628.11,6.919999999999999,58.37,38.71,15.49
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2004,2004,LSU/ha,0.01,E,Estimated value,2004-01-01,2.1,769.4500000000002,7.599999999999999,62.06,39.91,15.21
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2005,2005,LSU/ha,0.01,E,Estimated value,2005-01-01,1.99,725.08,7.27,61.97,37.75,15.13
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2006,2006,LSU/ha,0.01,E,Estimated value,2006-01-01,2.59,946.63,7.669999999999999,66.73,38.28,14.33
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2007,2007,LSU/ha,0.01,E,Estimated value,2007-01-01,1.46,533.13,6.82,56.91,40.42,15.71
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2008,2008,LSU/ha,0.01,E,Estimated value,2008-01-01,1.59,581.72,7.27,60.52,37.83,15.33
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2009,2009,LSU/ha,0.01,E,Estimated value,2009-01-01,1.3500000000000003,493.01,6.989999999999999,58.66,40.06,15.37
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2010,2010,LSU/ha,0.01,E,Estimated value,2010-01-01,1.49,544.58,7.14,57.54999999999999,39.29,15.65
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2011,2011,LSU/ha,0.01,E,Estimated value,2011-01-01,2.16,789.62,7.54,66.42,39.04,14.300000000000002
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2012,2012,LSU/ha,0.01,E,Estimated value,2012-01-01,2.0,733.75,7.28,64.07,39.56,14.83
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2013,2013,LSU/ha,0.01,E,Estimated value,2013-01-01,1.3999999999999997,510.2,6.54,57.12,38.73,15.76
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2014,2014,LSU/ha,0.01,E,Estimated value,2014-01-01,1.72,627.92,7.34,61.03,38.48,15.21
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2015,2015,LSU/ha,0.01,E,Estimated value,2015-01-01,1.25,457.69,7.150000000000001,60.580000000000005,40.44,15.42
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2016,2016,LSU/ha,0.01,E,Estimated value,2016-01-01,1.07,390.8999999999999,6.87,56.99,41.9,16.0
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2017,2017,LSU/ha,0.01,E,Estimated value,2017-01-01,1.25,458.13,6.61,56.04999999999999,38.79,16.08
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2018,2018,LSU/ha,0.01,E,Estimated value,2018-01-01,1.09,397.73,6.68,56.60999999999999,40.58,15.93
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2019,2019,LSU/ha,0.01,E,Estimated value,2019-01-01,0.7200000000000001,262.95,6.37,51.49,40.92,16.68
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2020,2020,LSU/ha,0.01,E,Estimated value,2020-01-01,1.6499999999999997,602.15,7.04,57.91,39.74,15.58
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2021,2021,LSU/ha,0.01,E,Estimated value,2021-01-01,1.46,531.71,6.830000000000001,57.22,39.65,15.449999999999998
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2022,2022,LSU/ha,0.01,E,Estimated value,2022-01-01,1.83,669.52,7.75,63.79999999999999,38.34,14.5
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2123,Goats,2000,2000,%LSU,4.51,E,Estimated value,2000-01-01,2.52,921.53,7.599999999999999,65.13,36.94,14.449999999999998
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2123,Goats,2001,2001,%LSU,4.38,E,Estimated value,2001-01-01,2.47,900.25,7.47,63.21,41.44,14.839999999999998
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2123,Goats,2002,2002,%LSU,4.34,E,Estimated value,2002-01-01,2.37,865.18,7.16,62.5,37.97,14.96
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2123,Goats,2003,2003,%LSU,4.32,E,Estimated value,2003-01-01,1.72,628.11,6.919999999999999,58.37,38.71,15.49
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2123,Goats,2004,2004,%LSU,4.34,E,Estimated value,2004-01-01,2.1,769.4500000000002,7.599999999999999,62.06,39.91,15.21
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2123,Goats,2005,2005,%LSU,4.35,E,Estimated value,2005-01-01,1.99,725.08,7.27,61.97,37.75,15.13
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2123,Goats,2006,2006,%LSU,4.42,E,Estimated value,2006-01-01,2.59,946.63,7.669999999999999,66.73,38.28,14.33
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2123,Goats,2007,2007,%LSU,4.21,E,Estimated value,2007-01-01,1.46,533.13,6.82,56.91,40.42,15.71
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2123,Goats,2008,2008,%LSU,4.3,E,Estimated value,2008-01-01,1.59,581.72,7.27,60.52,37.83,15.33
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2123,Goats,2009,2009,%LSU,4.18,E,Estimated value,2009-01-01,1.3500000000000003,493.01,6.989999999999999,58.66,40.06,15.37
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2123,Goats,2010,2010,%LSU,4.11,E,Estimated value,2010-01-01,1.49,544.58,7.14,57.54999999999999,39.29,15.65
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2123,Goats,2011,2011,%LSU,4.05,E,Estimated value,2011-01-01,2.16,789.62,7.54,66.42,39.04,14.300000000000002
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2123,Goats,2012,2012,%LSU,3.99,E,Estimated value,2012-01-01,2.0,733.75,7.28,64.07,39.56,14.83
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2123,Goats,2013,2013,%LSU,4.02,E,Estimated value,2013-01-01,1.3999999999999997,510.2,6.54,57.12,38.73,15.76
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2123,Goats,2014,2014,%LSU,3.99,E,Estimated value,2014-01-01,1.72,627.92,7.34,61.03,38.48,15.21
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2123,Goats,2015,2015,%LSU,3.97,E,Estimated value,2015-01-01,1.25,457.69,7.150000000000001,60.580000000000005,40.44,15.42
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2123,Goats,2016,2016,%LSU,3.87,E,Estimated value,2016-01-01,1.07,390.8999999999999,6.87,56.99,41.9,16.0
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2123,Goats,2017,2017,%LSU,3.87,E,Estimated value,2017-01-01,1.25,458.13,6.61,56.04999999999999,38.79,16.08
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2123,Goats,2018,2018,%LSU,3.85,E,Estimated value,2018-01-01,1.09,397.73,6.68,56.60999999999999,40.58,15.93
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2123,Goats,2019,2019,%LSU,3.79,E,Estimated value,2019-01-01,0.7200000000000001,262.95,6.37,51.49,40.92,16.68
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2123,Goats,2020,2020,%LSU,3.81,E,Estimated value,2020-01-01,1.6499999999999997,602.15,7.04,57.91,39.74,15.58
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2123,Goats,2021,2021,%LSU,3.82,E,Estimated value,2021-01-01,1.46,531.71,6.830000000000001,57.22,39.65,15.449999999999998
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2123,Goats,2022,2022,%LSU,3.82,E,Estimated value,2022-01-01,1.83,669.52,7.75,63.79999999999999,38.34,14.5
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2122,Sheep,2000,2000,LSU/ha,0.03,E,Estimated value,2000-01-01,2.52,921.53,7.599999999999999,65.13,36.94,14.449999999999998
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2122,Sheep,2001,2001,LSU/ha,0.03,E,Estimated value,2001-01-01,2.47,900.25,7.47,63.21,41.44,14.839999999999998
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2122,Sheep,2002,2002,LSU/ha,0.03,E,Estimated value,2002-01-01,2.37,865.18,7.16,62.5,37.97,14.96
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2122,Sheep,2003,2003,LSU/ha,0.03,E,Estimated value,2003-01-01,1.72,628.11,6.919999999999999,58.37,38.71,15.49
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2122,Sheep,2004,2004,LSU/ha,0.03,E,Estimated value,2004-01-01,2.1,769.4500000000002,7.599999999999999,62.06,39.91,15.21
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2122,Sheep,2005,2005,LSU/ha,0.03,E,Estimated value,2005-01-01,1.99,725.08,7.27,61.97,37.75,15.13
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2122,Sheep,2006,2006,LSU/ha,0.03,E,Estimated value,2006-01-01,2.59,946.63,7.669999999999999,66.73,38.28,14.33
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2122,Sheep,2007,2007,LSU/ha,0.03,E,Estimated value,2007-01-01,1.46,533.13,6.82,56.91,40.42,15.71
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2122,Sheep,2008,2008,LSU/ha,0.03,E,Estimated value,2008-01-01,1.59,581.72,7.27,60.52,37.83,15.33
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2122,Sheep,2009,2009,LSU/ha,0.03,E,Estimated value,2009-01-01,1.3500000000000003,493.01,6.989999999999999,58.66,40.06,15.37
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2122,Sheep,2010,2010,LSU/ha,0.03,E,Estimated value,2010-01-01,1.49,544.58,7.14,57.54999999999999,39.29,15.65
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2122,Sheep,2011,2011,LSU/ha,0.03,E,Estimated value,2011-01-01,2.16,789.62,7.54,66.42,39.04,14.300000000000002
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2122,Sheep,2012,2012,LSU/ha,0.03,E,Estimated value,2012-01-01,2.0,733.75,7.28,64.07,39.56,14.83
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2122,Sheep,2013,2013,LSU/ha,0.03,E,Estimated value,2013-01-01,1.3999999999999997,510.2,6.54,57.12,38.73,15.76
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2122,Sheep,2014,2014,LSU/ha,0.03,E,Estimated value,2014-01-01,1.72,627.92,7.34,61.03,38.48,15.21
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2122,Sheep,2015,2015,LSU/ha,0.02,E,Estimated value,2015-01-01,1.25,457.69,7.150000000000001,60.580000000000005,40.44,15.42
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2122,Sheep,2016,2016,LSU/ha,0.02,E,Estimated value,2016-01-01,1.07,390.8999999999999,6.87,56.99,41.9,16.0
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2122,Sheep,2017,2017,LSU/ha,0.02,E,Estimated value,2017-01-01,1.25,458.13,6.61,56.04999999999999,38.79,16.08
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2122,Sheep,2018,2018,LSU/ha,0.02,E,Estimated value,2018-01-01,1.09,397.73,6.68,56.60999999999999,40.58,15.93
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2122,Sheep,2019,2019,LSU/ha,0.02,E,Estimated value,2019-01-01,0.7200000000000001,262.95,6.37,51.49,40.92,16.68
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2122,Sheep,2020,2020,LSU/ha,0.02,E,Estimated value,2020-01-01,1.6499999999999997,602.15,7.04,57.91,39.74,15.58
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2122,Sheep,2021,2021,LSU/ha,0.02,E,Estimated value,2021-01-01,1.46,531.71,6.830000000000001,57.22,39.65,15.449999999999998
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2122,Sheep,2022,2022,LSU/ha,0.02,E,Estimated value,2022-01-01,1.83,669.52,7.75,63.79999999999999,38.34,14.5
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2122,Sheep,2000,2000,%LSU,19.19,E,Estimated value,2000-01-01,2.52,921.53,7.599999999999999,65.13,36.94,14.449999999999998
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2122,Sheep,2001,2001,%LSU,19.27,E,Estimated value,2001-01-01,2.47,900.25,7.47,63.21,41.44,14.839999999999998
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2122,Sheep,2002,2002,%LSU,17.5,E,Estimated value,2002-01-01,2.37,865.18,7.16,62.5,37.97,14.96
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2122,Sheep,2003,2003,%LSU,17.53,E,Estimated value,2003-01-01,1.72,628.11,6.919999999999999,58.37,38.71,15.49
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2122,Sheep,2004,2004,%LSU,17.29,E,Estimated value,2004-01-01,2.1,769.4500000000002,7.599999999999999,62.06,39.91,15.21
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2122,Sheep,2005,2005,%LSU,17.33,E,Estimated value,2005-01-01,1.99,725.08,7.27,61.97,37.75,15.13
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2122,Sheep,2006,2006,%LSU,17.27,E,Estimated value,2006-01-01,2.59,946.63,7.669999999999999,66.73,38.28,14.33
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2122,Sheep,2007,2007,%LSU,16.85,E,Estimated value,2007-01-01,1.46,533.13,6.82,56.91,40.42,15.71
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2122,Sheep,2008,2008,%LSU,16.54,E,Estimated value,2008-01-01,1.59,581.72,7.27,60.52,37.83,15.33
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2122,Sheep,2009,2009,%LSU,16.42,E,Estimated value,2009-01-01,1.3500000000000003,493.01,6.989999999999999,58.66,40.06,15.37
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2122,Sheep,2010,2010,%LSU,16.06,E,Estimated value,2010-01-01,1.49,544.58,7.14,57.54999999999999,39.29,15.65
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2122,Sheep,2011,2011,%LSU,15.96,E,Estimated value,2011-01-01,2.16,789.62,7.54,66.42,39.04,14.300000000000002
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2122,Sheep,2012,2012,%LSU,15.86,E,Estimated value,2012-01-01,2.0,733.75,7.28,64.07,39.56,14.83
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2122,Sheep,2013,2013,%LSU,16.38,E,Estimated value,2013-01-01,1.3999999999999997,510.2,6.54,57.12,38.73,15.76
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2122,Sheep,2014,2014,%LSU,16.13,E,Estimated value,2014-01-01,1.72,627.92,7.34,61.03,38.48,15.21
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2122,Sheep,2015,2015,%LSU,16.19,E,Estimated value,2015-01-01,1.25,457.69,7.150000000000001,60.580000000000005,40.44,15.42
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2122,Sheep,2016,2016,%LSU,16.06,E,Estimated value,2016-01-01,1.07,390.8999999999999,6.87,56.99,41.9,16.0
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2122,Sheep,2017,2017,%LSU,16.04,E,Estimated value,2017-01-01,1.25,458.13,6.61,56.04999999999999,38.79,16.08
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2122,Sheep,2018,2018,%LSU,16.03,E,Estimated value,2018-01-01,1.09,397.73,6.68,56.60999999999999,40.58,15.93
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2122,Sheep,2019,2019,%LSU,15.94,E,Estimated value,2019-01-01,0.7200000000000001,262.95,6.37,51.49,40.92,16.68
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2122,Sheep,2020,2020,%LSU,15.93,E,Estimated value,2020-01-01,1.6499999999999997,602.15,7.04,57.91,39.74,15.58
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2122,Sheep,2021,2021,%LSU,15.91,E,Estimated value,2021-01-01,1.46,531.71,6.830000000000001,57.22,39.65,15.449999999999998
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2122,Sheep,2022,2022,%LSU,15.92,E,Estimated value,2022-01-01,1.83,669.52,7.75,63.79999999999999,38.34,14.5
